date,dppi,dpsi,bird_ID,band_number,swab_id,mass,l_eye_score,r_eye_score,scorer,swab,swabber,plasma,tears,tears_vol_l,tears_vol_r,rbcs,smear,experiment_notes,capture_date,population,capture_location,experiment_location,antimalarials,primary_treatment,primary_dose,primary_inoc_date,secondary_treatment,secondary_dose,secondary_inoc_date,recovered_prior_sec,elisa_date,od_mean,room,stack,cage,sex,mass_cap,vital_notes,qpcr_plate,qpcr_date,well,cq_value,quantity,quantity1,log10_quantity1,extraction_plate,extraction_date,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,yinter,error
20211011,-8,-50,-8_2506,2506,2506 PID -8,17.2,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210729,va,sr,vt,n,high,30000,20211019,4,7000,20211130,y,20210917,0.043,e,4,4,f,17.2,NA,3,20220401,F5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2511,2511,2511 PID -8,21.1,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210729,va,sr,vt,n,sham,0,20211019,2,100,20211130,y,20210917,0.046,l,2,2,m,21.7,NA,3,20220401,D8,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2512,2512,2512 PID -8,21.9,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210802,va,lh,vt,n,sham,0,20211019,4,7000,20211130,y,20210917,0.045,j,1,3,f,22,*caught and released a juvie at Betts with R eye 1!*,2,20220401,D10,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2513,2513,2513 PID -8,18.5,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210803,va,sr,vt,n,low,750,20211019,0,0,20211130,y,20210917,0.054,k,2,2,f,19.4,NA,3,20220401,G8,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2514,2514,2514 PID -8,19.7,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,sr,vt,n,sham,0,20211019,3,300,20211130,y,20210917,0.048,e,1,4,m,20,NA,3,20220401,H5,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2515,2515,2515 PID -8,19.4,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,sr,vt,n,low,750,20211019,3,300,20211130,y,20210924,0.042,f,2,3,f,19.4,NA,2,20220401,F8,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2516,2516,2516 PID -8,18.9,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,be,vt,n,low,750,20211019,2,100,20211130,y,20210917,0.049,f,2,4,f,19.4,NA,2,20220401,E10,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2517,2517,2517 PID -8,21.1,na,na,na,y,dmh,y,n,na,na,n,y,NA,20210803,va,be,vt,n,sham,0,20211019,4,7000,20211130,y,20210924,0.049,e,2,1,f,20.8,NA,3,20220401,A6,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2518,2518,2518 PID -8,20,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,be,vt,n,high,30000,20211019,1,30,20211130,y,20210917,0.044,j,3,4,f,19.3,NA,2,20220401,C7,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
20211011,-8,-50,-8_2519,2519,2519 PID -8,20.9,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,be,vt,n,low,750,20211019,2,100,20211130,y,20210917,0.043,e,3,3,f,20.9,NA,3,20220401,F7,Undetermined,0,1,0,2,20211208,9.479825452,11.48732104,15.0677324,18.94896454,na,25.36530625,29.01730143,na,neg,-3.37,99.397,0.996,37.422,0.052
20211011,-8,-50,-8_2520,2520,2520 PID -8,19.5,na,na,na,y,dmh,y,n,na,na,n,n,NA,20210803,va,be,vt,n,low,750,20211019,1,30,20211130,y,20210917,0.051,j,1,4,f,19.8,NA,2,20220401,F11,Undetermined,0,1,0,2,20211208,10.794,12.708,16.308,na,na,26.56,30.458,na,neg,-3.349,0.995,98.879,38.744,0.063
