"date","dpi","dpsi","bird_ID","band_number","swab_id","mass","l_eye_score","r_eye_score","scorer","swab","swabber","plasma","tears","tears_vol_l","tears_vol_r","rbcs","smear","experiment_notes","capture_date","population","capture_location","experiment_location","antimalarials","primary_treatment","primary_dose","primary_inoc_date","secondary_treatment","secondary_dose","secondary_inoc_date","recovered_prior_sec","elisa_date","od_mean","room","stack","cage","sex","mass_cap","vital_notes","qpcr_plate","qpcr_date","well","cq_value","quantity","quantity1","log10_quantity1","extraction_plate","extraction_date","cq8","cq7","cq6","cq5","cq4","cq3","cq2","cq1","qpcr_neg_cntrls","slope","efficiency","r2","yinter","error","ELISA.Run.Date","elisa_od","elisa_cv","MG.....OD.0.0621.","ELISA.notes","tes","threshold_cutoff","seropos_cutoff","pathology_cutoff","quantity_clean","day_inf","inf","inf_pri","inf_sec"
20211214,56,"14","56_2275","2275","2275 SID 14","19.4",0,0,"dmh","y","dmh","y","n","na","na","y","n",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",13,20220412,"H10","Undetermined",0,1,0,10,20220209,"na",11.72578204,15.01386033,"na","22.35951247","na",29.1356697,"32.50885701","neg",-3.484,93.641,1,38.129,"0.02","10.27.23",0.042,1.2,"-","",0,50,0.061,0,0,0,0,0,0
20211221,63,"21","63_2275","2275","2275 SID 21","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210616,"va","mh","vt","n","Sham",0,20211019,2,100,20211130,"y","20210908","0.042","l","1","4","Female",19.5,"cage injury above eyes, did not receive Cankerex until 7/5/21, got ampho B H2O starting 8/5",15,20220414,"B9","Undetermined",0,1,0,11,20220211,"8.926534345",11.45403004,14.67622864,"na","22.21722259","25.21993563",28.79607535,"32.00198694","neg",-3.376,97.81,0.998,37.398,"0.034",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,0,0,0
20211012,-8,"-49","-7_2280","2280","2280 PID -7","19.3",NA,NA,"na","y","dmh","y","n","na","na","y","n",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",1,20220329,"A12","Undetermined",0,1,0,1,20211208,"11.082",12.843,15.854,"20.17",NA,"26.494",30.904,NA,"neg",-3.372,97.967,0.991,38.954,"0.082","6.30.22",0.044,0.64,"-","",0,50,0.061,0,0,0,1,1,0
20211026,7,"-35","7_2280","2280","2280 PID 7","na",1,0.5,"dmh","y","dmh","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",4,20220404,"B9","21.28160906",52732.62574,52733.62574,4.722087633,3,20220126,"9.023035844",11.11909956,14.37866456,"18.5554148","na","25.02698387",28.74760898,"na","neg",-3.37,98.046,0.996,37.194,"0.057",NA,NA,NA,NA,NA,1.5,50,0.061,0,52732.62574,1,1,1,0
20211102,14,"-28","14_2280","2280","na","19.4",0,0,"dmh","n","na","y","y","2","4","n","n","Not quite scoreable",20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.11.22",0.074,1.44,"+","",0,50,0.061,0,0,0,1,1,0
20211109,21,"-21","21_2280","2280","na","19.1",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211116,28,"-14","28_2280","2280","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211123,35,"-7","35_2280","2280","na","na",0,0,"dmh","n","na","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
20211129,41,"-1","41_2280","2280","2280 PID 41","18.9",0,0,"dmh","y","dmh","y","n","na","na","y","n",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",6,20220404,"E8","Undetermined",0,1,0,5,20220128,"9.224596807",11.53930901,14.73461186,"18.88393093","na","25.20403948",28.9560212,"na","neg",-3.35,98.86,0.996,37.36,"0.05","9.9.22",0.047,7.898,"-","",0,50,0.061,0,0,0,1,1,0
20211204,46,"4","46_2280","2280","2280 SID 4","na",0,0,"dmh","y","dmh","n","n","na","na","na","na",NA,20210618,"va","lr","vt","n","High",30000,20211019,2,100,20211130,"y","20210908","0.043","a","11","1","Male",19.8,"did not receive Cankerex until 7/5/21",9,20220411,"F5","Undetermined",0,1,0,6,20220128,"na",12.53148867,15.72988284,"18.75386348","22.32475872","25.96256782",29.11519124,"32.54947164","neg",-3.358,98.503,0.999,37.826,"0.022",NA,NA,NA,NA,NA,0,50,0.061,0,0,0,1,1,0
